Task,Category,Start,End,Rest,Total,Total(mins)
aurkezpena aldaketak,Defentsa,"June 29, 2021 20:20","June 29, 2021 21:05",,45m,45
bilera,Defentsa,"June 29, 2021 16:00","June 29, 2021 17:00",,1h 0m,60
aurkezpena,Defentsa,"June 28, 2021 15:45","June 28, 2021 16:45",,1h 0m,60
aurkezpena,Defentsa,"June 27, 2021 11:35","June 27, 2021 14:00",,2h 25m,145
aurkezpena,Defentsa,"June 24, 2021 16:15","June 24, 2021 17:40",,1h 25m,85
aurkezpena,Defentsa,"June 24, 2021 11:35","June 24, 2021 13:30",,1h 55m,115
aurkezpena,Defentsa,"June 23, 2021 15:40","June 23, 2021 17:10",,1h 30m,90
aurkezpena,Defentsa,"June 23, 2021 11:50","June 23, 2021 14:00",,2h 10m,130
aurkezpena,Defentsa,"June 22, 2021 11:55","June 22, 2021 13:25",,1h 30m,90
aurkezpena,Defentsa,"June 22, 2021 0:00","June 22, 2021 0:30",,30m,30
aurkezpena,Defentsa,"June 21, 2021 12:00","June 21, 2021 13:50",,1h 50m,110
errepaso eta entrega,Dokumentazio,"June 19, 2021 16:05","June 19, 2021 18:00",,1h 55m,115
poster,Defentsa,"June 18, 2021 10:55","June 18, 2021 11:30",,35m,35
poster,Defentsa,"June 17, 2021 20:00","June 17, 2021 20:45",,45m,45
poster,Defentsa,"June 17, 2021 17:30","June 17, 2021 19:15",,1h 45m,105
azken zuzenketak,Dokumentazio,"June 17, 2021 11:25","June 17, 2021 13:15",,1h 50m,110
azken zuzenketak,Dokumentazio,"June 16, 2021 15:40","June 16, 2021 17:00",,1h 20m,80
azken zuzenketak,Dokumentazio,"June 16, 2021 11:30","June 16, 2021 13:10",,1h 40m,100
poster,Defentsa,"June 15, 2021 20:00","June 15, 2021 21:05",,1h 5m,65
poster,Defentsa,"June 15, 2021 15:15","June 15, 2021 16:15",,1h 0m,60
gidabot atal berria,Dokumentazio,"June 13, 2021 16:40","June 13, 2021 17:50",,1h 10m,70
gidabot atal berria,Dokumentazio,"June 13, 2021 13:40","June 13, 2021 14:20",,40m,40
gidabot atal berria,Dokumentazio,"June 13, 2021 10:20","June 13, 2021 11:40",,1h 20m,80
gidabot atal berria,Dokumentazio,"June 12, 2021 9:45","June 12, 2021 10:15",,30m,30
gidabot gehitu,Dokumentazio,"June 11, 2021 17:00","June 11, 2021 17:45",,45m,45
zuzenketak + gidabot,Dokumentazio,"June 11, 2021 10:25","June 11, 2021 11:20",,55m,55
errepaso igor + korreo,Dokumentazio,"June 10, 2021 19:05","June 10, 2021 19:25",,20m,20
laburpena translate,Dokumentazio,"June 10, 2021 14:05","June 10, 2021 14:55",,50m,50
errepaso,Dokumentazio,"June 10, 2021 10:25","June 10, 2021 11:50",,1h 25m,85
errepaso,Dokumentazio,"June 9, 2021 16:25","June 9, 2021 17:00",,35m,35
errepaso,Dokumentazio,"June 9, 2021 11:30","June 9, 2021 12:30",,1h 0m,60
errepaso + arriskuanalisia,Dokumentazio,"June 8, 2021 20:30","June 8, 2021 22:25",,1h 55m,115
errepaso,Dokumentazio,"June 8, 2021 11:45","June 8, 2021 12:30",,45m,45
demo,Defentsa,"June 7, 2021 21:00","June 7, 2021 21:35",,35m,35
errepaso,Dokumentazio,"June 7, 2021 20:10","June 7, 2021 20:55",,45m,45
errepaso,Dokumentazio,"June 7, 2021 0:05","June 7, 2021 0:55",,50m,50
errepaso,Dokumentazio,"June 6, 2021 20:00","June 6, 2021 20:30",,30m,30
i.lezioak,Dokumentazio,"June 6, 2021 17:15","June 6, 2021 18:10",,55m,55
readme,Dokumentazio,"June 6, 2021 15:35","June 6, 2021 16:05",,30m,30
readme,Dokumentazio,"June 6, 2021 13:25","June 6, 2021 14:05",,40m,40
i.lezioak + errepaso,Dokumentazio,"June 6, 2021 12:15","June 6, 2021 13:15",,1h 0m,60
sd + errepaso azkar,Dokumentazio,"June 5, 2021 0:40","June 5, 2021 1:05",,25m,25
readme,Dokumentazio,"June 4, 2021 16:50","June 4, 2021 17:05",,15m,15
ondorioak,Dokumentazio,"June 4, 2021 15:40","June 4, 2021 16:30",,50m,50
ondorioak,Dokumentazio,"June 4, 2021 10:55","June 4, 2021 13:10",10,2h 15m,125
ondorioak,Dokumentazio,"June 3, 2021 20:00","June 3, 2021 21:30",,1h 30m,90
jk,Jarraipen eta Kontrola,"June 3, 2021 15:10","June 3, 2021 16:35",,1h 25m,85
jk ,Dokumentazio,"June 3, 2021 11:30","June 3, 2021 13:10",,1h 40m,100
jk desb taula,Dokumentazio,"June 2, 2021 22:55","June 2, 2021 23:30",,35m,35
jk,Dokumentazio,"June 2, 2021 15:10","June 2, 2021 16:55",,1h 45m,105
sarrera + jk,Dokumentazio,"June 2, 2021 11:15","June 2, 2021 13:30",,2h 15m,135
sarrera + jarraipen eta kontrola,Dokumentazio,"June 1, 2021 18:40","June 1, 2021 20:15",,1h 35m,95
aurrekariak + teknologiak errepaso,Dokumentazio,"June 1, 2021 14:45","June 1, 2021 15:15",,30m,30
ros,Dokumentazio,"June 1, 2021 11:15","June 1, 2021 13:15",,2h 0m,120
ros,Dokumentazio,"May 31, 2021 15:45","May 31, 2021 16:40",,55m,55
teknologiak + errepaso,Dokumentazio,"May 31, 2021 10:35","May 31, 2021 13:00",,2h 25m,145
teknologiak,Dokumentazio,"May 30, 2021 23:30","May 31, 2021 0:55",,1h 25m,85
teknologiak,Dokumentazio,"May 30, 2021 17:55","May 30, 2021 19:25",,1h 30m,90
sekuentzia diagramak,Diseinua,"May 30, 2021 16:40","May 30, 2021 17:45",,1h 5m,65
sekuentzia diagramak,Diseinua,"May 30, 2021 11:25","May 30, 2021 13:50",,2h 25m,145
aurrekariak,Dokumentazio,"May 29, 2021 16:50","May 29, 2021 19:10",,2h 20m,140
demo,Defentsa,"May 28, 2021 22:30","May 29, 2021 0:30",,2h 0m,120
aurrekariak,Dokumentazio,"May 28, 2021 15:40","May 28, 2021 16:20",,40m,40
errepaso + 3.it,Dokumentazio,"May 28, 2021 11:15","May 28, 2021 13:15",,2h 0m,120
3. it,Dokumentazio,"May 27, 2021 16:35","May 27, 2021 18:30",,1h 55m,115
2. it,Dokumentazio,"May 27, 2021 11:00","May 27, 2021 12:50",,1h 50m,110
2. it,Dokumentazio,"May 27, 2021 0:40","May 27, 2021 1:20",,40m,40
2. it,Dokumentazio,"May 26, 2021 14:50","May 26, 2021 16:30",,1h 40m,100
2.it,Dokumentazio,"May 26, 2021 10:40","May 26, 2021 12:40",,2h 0m,120
2. it,Dokumentazio,"May 25, 2021 22:45","May 25, 2021 23:50",,1h 5m,65
2. it,Dokumentazio,"May 25, 2021 19:15","May 25, 2021 20:25",,1h 10m,70
1. it,Dokumentazio,"May 25, 2021 11:10","May 25, 2021 12:40",,1h 30m,90
1. it,Dokumentazio,"May 24, 2021 23:40","May 25, 2021 0:45",,1h 5m,65
s.g - 1. it,Dokumentazio,"May 24, 2021 14:45","May 24, 2021 17:10",,2h 25m,145
s.g - 1. it,Dokumentazio,"May 24, 2021 12:50","May 24, 2021 14:40",,1h 50m,110
